Organisation,Allocation,Block,Factor,Description,Rate,Places,Full year sub-total,Part year sub-total,Sub-total,Total
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Primary, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Total Basic Entitlement, , ,"5,131,075.81","2,322,760.99", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band A (most deprived), , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band B, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band C, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band D, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band E, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band F (least deprived), , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary free school meals, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary pupils eligible for free school meals in past 6 years, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Total deprivation, , ,"196,663.55","67,781.42", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total looked-after children,Total looked-after children, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Low prior attainment,Primary pupils not achieving the expected levels of development, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total low prior attainment,Total low prior attainment, , ,"138,102.30","149,341.57", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Primary pupils in first year of education within England, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Primary pupils in first 2 years of education within England, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Primary pupils in first 3 years of education within England, , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total English as an additional language,Total English as an additional language, , ,"11,565.15","1,384.75", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Mobility,Primary pupils starting school on unusual entry dates (proportion above 6%), , ,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total mobility,Total mobility, , ,0.00,"140,449.75", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total pupil-led factors for full year,Total pupil-led factors for full year, , , , ,"5,372,898.02",
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total pupil-led factors for part year,Total pupil-led factors for part year, , , , ,"2,681,718.48",
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Lump sum,Total primary lump sum, , ,"127,777.83",0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Total for small academy in sparsely populated area, , , , , ,"6,283.33"
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Maximum sparsity amount set by local authority, , , , , ,"65,000.00"
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Method chosen by local authority, , , , , ,National funding formula
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Minimum distance from second nearest school (miles) set by local authority, , , , , ,3
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Academy's distance from second nearest eligible school (miles), , , , , ,4.299859
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Maximum year group size set by local authority, , , , , ,120
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Sparsity,Academy's average year group size, , , , , ,114.2
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total other factors for full year,Total other factors for full year, , , , , ,115023
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total other factors for part year,Total other factors for part year, , , , , ,115023
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Minimum funding level,Minimum per pupil funding level set by local authority, , ,0.00,Not Applicable, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Minimum funding level,Total adjustment to make sure minimum funding level is met, , ,0.00,"83,247.94", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total funding adjustments for full year,Total funding adjustments for full year, , , ,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,School budget share,Total funding adjustments for part year,Total funding adjustments for part year, , , ,"83,247.94", ,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (not adjusted for pupils),Minimum funding guarantee for full year, , , , ,0.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (not adjusted for pupils),Days in full year, , , , ,366.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (not adjusted for pupils),Days open, , , , ,365.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (not adjusted for pupils),Minimum funding guarantee for days open (not adjusted for pupils), , , , ,0.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Pupil adjustment,Pupil numbers used in original minimum funding guarantee calculation, , , , ,"1,077.00",
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Pupil adjustment,Pupil numbers actually funded, , , , ,571.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Pupil adjustment,Pupil adjustment, , , , ,"23,834.42",
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (adjusted for pupils),Minimum funding guarantee for days open (not adjusted for pupils), , , , ,0.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (adjusted for pupils),Pupil adjustment, , , , ,"23,834.42",
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee for days open (adjusted for pupils),Minimum funding guarantee for days open (adjusted for pupils), , , , ,0.00,
Wombourne High School,General annual grant: academic year 2021 to 2022,Minimum funding guarantee, ,Total minimum funding guarantee, , , , , ,0.00
Wombourne High School,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Alternative provision,"10,000.00",0,0.00,0.00, , 
Wombourne High School,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special occupied,"6,000.00",0,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special unoccupied,"10,000.00",0,0.00,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Total pre-16 high needs, , , ,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,High needs, ,Total high needs, , , ,0.00, ,
Wombourne High School,General annual grant: academic year 2021 to 2022,Start-up grant,Start-up grant,Total start-up grant for new sponsored academy, , , , , ,0.00
Wombourne High School,General annual grant: academic year 2021 to 2022, , ,Total allocation, , , , , ,"5,487,921.02"
